Accesion 	Pffam 	(Uniprot-Pfam) 	MD5 digest 	Length 	Description 	Start 	Stop 	Score 	Interpro 	Description 	Annotations 	Go annotations	EC Number 	Gen 	Microrganism	KEGG	KO	path1	path2	path3
P0A1Y2	PF03460	P0A1Y2PF03460	c9ebd6d3ae37c038d62298a6d3c15c20	337	Nitrite/Sulfite reductase ferredoxin-like half domain	23	82	6.20E-15	IPR005117	Nitrite/Sulfite reductase ferredoxin-like domain	Reactome: R-HSA-611105|Reactome: R-HSA-6799198		1.8.99.1	asrC	Salmonella enterica enterica serovar Typhimurium	stm-STM2550	K00385	4	0	0
Q1QWN5	PF02615	Q1QWN5PF02615	92c2ecafecd4bbb842ecad1b38a99a4a	333	Malate/L-lactate dehydrogenase	6	325	1.50E-102	IPR003767	Malate/L-lactate dehydrogenase			1.1.1.338	comC	Chromohalobacter salexigens DSM 3043	csa-Csal_1771	K16844	15	0	0
Q58820	PF02615	Q58820PF02615	384567f592b4b8064266bf8eec4563a9	344	Malate/L-lactate dehydrogenase	5	329	3.50E-125	IPR003767	Malate/L-lactate dehydrogenase			1.1.1.337	comC (MJ1425)	Methanocaldococcus jannaschii	mja-MJ_1425	K05884	15	0	0
A3SN10	PF02775	A3SN10PF02775	bbd903a5e9f1237433a1b1ef36ca53ed	188	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	38	155	4.80E-19	IPR011766	Thiamine pyrophosphate enzyme, C-terminal TPP-binding			4.1.1.79	comD	Roseovarius nubinhibens ISM	 	K06034	15	0	0
A3SN11	PF02776	A3SN11PF02776	d4e013ba52497cc5a44482d5f06d5f85	165	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain	4	96	1.60E-05	IPR012001	Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain	Reactome: R-HSA-446193|Reactome: R-HSA-4549349		4.1.1.79	comE	Roseovarius nubinhibens ISM	 	K13039	15	0	0
G0WXL9	PF00484	G0WXL9PF00484	4cc8a60634a840262d5cd9f5f829b6c2	204	Carbonic anhydrase	32	179	1.30E-11	IPR001765	Carbonic anhydrase	KEGG: 00920+1.8.1.2|MetaCyc: PWY-6683		4.4.1.27	csh	Acidianus sp. A1-3	 	0	8	0	0
Q5LL69	PF00291	Q5LL69PF00291	64e1656fe9bcaedc6b5c697d1080921d	339	Pyridoxal-phosphate dependent enzyme	13	319	1.80E-58	IPR001926	Tryptophan synthase beta subunit-like PLP-dependent enzyme			4.4.1.25	cuyA	Ruegeria pomeroyi DSS-3	sil-SPOA0158	K17950	15	0	0
P16676	PF00005	P16676PF00005	eebe6746730e1289ce3d1cce1159eed6	365	ABC transporter	18	164	4.80E-38	IPR003439	ABC transporter-like	Reactome: R-HSA-611105		3.6.3.25	cysA	Escherichia coli K-12 substr.	eco-b2422	K02045	10	0	0
P16676	PF12857	P16676PF12857	eebe6746730e1289ce3d1cce1159eed6	365	TOBE-like domain	289	339	1.90E-07	IPR024765	TOBE-like domain	KEGG: 00920+4.4.1.3|MetaCyc: PWY-6046|MetaCyc: PWY-6049		3.6.3.25	cysA	Escherichia coli K-12 substr.	eco-b2422	K02045	10	0	0
P0A6J1	PF01583	P0A6J1PF01583	e76736719b951c91dc283a3fd5205c58	201	Adenylylsulphate kinase	27	179	9.80E-73					2.7.1.25	cysC	Escherichia coli K-12 substr. MG1655	eco-b2750	K00860	10	0	0
P21156	PF01507	P21156PF01507	1086d0197327cf387ccba41b7da9b310	302	Phosphoadenosine phosphosulfate reductase family	29	257	1.20E-66	IPR002500	Phosphoadenosine phosphosulphate reductase			2.7.7.4	cysD	Escherichia coli	eco-b2752	K00957	10	0	0
P17854	PF01507	P17854PF01507	3133b183438b1574006ba1d1d4458b3e	244	Phosphoadenosine phosphosulfate reductase family	48	219	8.60E-52	IPR002500	Phosphoadenosine phosphosulphate reductase	Reactome: R-HSA-611105		1.8.4.8	cysH	Escherichia coli K-12 substr. MG1655	eco-b2762	K00390	10	0	0
P56891	PF01507	P56891PF01507	e3ebc9443c41c97a51af29ce9e331f1d	265	Phosphoadenosine phosphosulfate reductase family	50	224	1.50E-33	IPR002500	Phosphoadenosine phosphosulphate reductase			1.8.4.10	cysH	Sinorhizobium meliloti	sme-SMc00092	K00390	10	0	0
P17846	PF01077	P17846PF01077	99d2bbaab9d488b2cec6d118f4f8da54	570	Nitrite and sulphite reductase 4Fe-4S domain	430	545	0.37	IPR006067	Nitrite/sulphite reductase 4Fe-4S domain	KEGG: 00920+1.8.1.2|MetaCyc: PWY-6683		1.8.1.2	cysI	Escherichia coli K-12 substr. MG1655	eco-b2763	K00381	10	0	0
P17846	PF03460	P17846PF03460	99d2bbaab9d488b2cec6d118f4f8da54	570	Nitrite/Sulfite reductase ferredoxin-like half domain	81	138	1.50E-12	IPR005117	Nitrite/Sulfite reductase ferredoxin-like domain	KEGG: 00920+1.8.1.2|MetaCyc: PWY-6683		1.8.1.2	cysI	Escherichia coli K-12 substr. MG1655	eco-b2763	K00381	10	0	0
P38038	PF00175	P38038PF00175	fb5aec671520cf6aab02a5a3862c2aeb	599	Oxidoreductase NAD-binding domain	457	563	5.80E-22	IPR001433	Oxidoreductase FAD/NAD(P)-binding			1.8.1.2	cysJ	Escherichia coli K-12 substr. MG1655	eco-b2764	K00380	10	0	0
P38038	PF00258	P38038PF00258	fb5aec671520cf6aab02a5a3862c2aeb	599	Flavodoxin	66	196	4.10E-32	IPR008254	Flavodoxin/nitric oxide synthase			1.8.1.2	cysJ	Escherichia coli K-12 substr. MG1655	eco-b2764	K00380	10	0	0
P38038	PF00667	P38038PF00667	fb5aec671520cf6aab02a5a3862c2aeb	599	FAD binding domain	230	424	2.50E-26	IPR003097	FAD-binding, type 1			1.8.1.2	cysJ	Escherichia coli K-12 substr. MG1655	eco-b2764	K00380	10	0	0
P23845	PF00009	P23845PF00009	7b018704e074fee34e7a5f6016618c09	475	Elongation factor Tu GTP binding domain	27	231	1.50E-42					2.7.7.4	cysN	Escherichia coli	eco-b2751	K00956	10	0	0
O34734	PF01384	O34734PF01384	d31872bddebcfa313da4f8f0deb978da	354	Phosphate transporter family	16	305	2.80E-47	IPR001204	Phosphate transporter			NO EC	cysP	Bacillus subtilis	bsu-BSU15580	K02048 	10	0	0
P16700	PF13531	P16700PF13531	480a37ce631a4078d4ba92298c3e15e1	338	Bacterial extracellular solute-binding protein	38	286	1.40E-40					NO EC	cysP	Escherichia coli (strain K-12) 	ecj:JW2418	K02048	10		
P22255	PF00459	P22255PF00459	347fa5f1329d7667423d4c5873cd8b63	246	Inositol monophosphatase family	5	233	2.30E-49	IPR000760	Inositol monophosphatase-like			3.1.3.7	cysQ	Escherichia coli K-12 substr. MG1655	eco-b4214	K01082	10	0	0
P16701	PF00528	P16701PF00528	10f1a1a47a2b2b016072c5e3bb34b0ad	277	Binding-protein-dependent transport system inner membrane component	76	274	2.60E-34	IPR000515	ABC transporter type 1, transmembrane domain MetI-like	Reactome: R-HSA-611105|Reactome: R-HSA-6799198		NO EC	cysU	Escherichia coli K-12 substr.	eco-b2424	K02046	10	0	0
P0AEB0	PF00528	P0AEB0PF00528	ded884cbdc1ad9162fd1f7548b7f6267	291	Binding-protein-dependent transport system inner membrane component	81	275	1.90E-16	IPR000515	ABC transporter type 1, transmembrane domain MetI-like			NO EC	cysW	Escherichia coli K-12 substr.	eco-b2423	K02047 	10	0	0
A6W2K8	PF02515	A6W2K8PF02515	b22faf1f5059c092761e7fcde8bbb607	837	CoA-transferase family III	9	406	7.40E-58	IPR003673	CoA-transferase family III			4.4.1.-	dddD	Marinomonas sp. MWYL1	mmw-Mmwyl1_4041		17	0	0
A3SC37	PF16867	A3SC37PF16867	9ed620d26ffc21104a1cb8f5d1ad5f4a	223	Dimethlysulfonioproprionate lyase	44	199	8.10E-35	IPR031723	Dimethlysulfonioproprionate lyase DddL			4.4.1.3	dddL	Sulfitobacter sp. EE-36			17		
A3SK19	PF00557	A3SK19PF00557	b5346ade6804dbe170a1cfa7241c7b11	446	Metallopeptidase family M24	220	428	5.50E-23	IPR000994	Peptidase M24			4.4.1.3	dddP	Roseovarius nubinhibens ISM	 	K16953 	17	0	0
Q5LT18	PF16867	Q5LT18PF16867	ed336bef1b5bac74e300ef386a949eed	201	Dimethlysulfonioproprionate lyase	39	180	2.90E-19	IPR031723	Dimethlysulfonioproprionate lyase DddL	Reactome: R-HSA-196843		4.4.1.3	dddQ	Ruegeria pomeroyi DSS-3 	sil:SPO1596		17		
Q8GPG4	PF00384	Q8GPG4PF00384	713ba82bc4be31f62e0301822178a8fa	910	Molybdopterin oxidoreductase	124	638	1.70E-55	IPR006656	Molybdopterin oxidoreductase	Reactome: R-HSA-611105		1.8.2.4	ddhA	Rhodovulum sulfidophilum	 	K16964	16	0	0
Q8GPG4	PF01568	Q8GPG4PF01568	713ba82bc4be31f62e0301822178a8fa	910	Molydopterin dinucleotide binding domain	778	870	1.30E-12	IPR006657	Molybdopterin dinucleotide-binding domain			1.8.2.4	ddhA	Rhodovulum sulfidophilum	 	K16964	16	0	0
Q8GPG3	PF13247	Q8GPG3PF13247	6455b7d3161f83128d1e99da862d8ee0	325	4Fe-4S dicluster domain	125	219	8.70E-33	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain			1.8.2.4	ddhB	Rhodovulum sulfidophilum	 	K16965	16	0	0
Q8GPG1	PF09459	Q8GPG1PF09459	3589cd565d0e00e7aa7785cb7a491386	265	Ethylbenzene dehydrogenase	62	171	3.40E-07	IPR019020	Cytochrome c-552/DMSO reductase-like, haem-binding domain			1.8.2.4	ddhC	Rhodovulum sulfidophilum	 	K16966	16	0	0
Q5LS57	PF01571	Q5LS57PF01571	70e5b560d70f5da3b5c155232cfc2418	364	Aminomethyltransferase folate-binding domain	31	261	9.60E-37	IPR006222	Glycine cleavage T-protein-like, N-terminal	KEGG: 00920+1.8.1.2|MetaCyc: PWY-6683		2.1.1.269	dmdA	Ruegeria pomeroyi DSS-3	sil-SPO1913	K17486	17	0	0
Q5LS57	PF08669	Q5LS57PF08669	70e5b560d70f5da3b5c155232cfc2418	364	Glycine cleavage T-protein C-terminal barrel domain	268	359	1.40E-16	IPR013977	Glycine cleavage T-protein, C-terminal barrel domain			2.1.1.269	dmdA	Ruegeria pomeroyi DSS-3	sil-SPO1913	K17486	17	0	0
Q5LRT0	PF00501	Q5LRT0PF00501	963a9f742c6b445f8bd5c0be572d2193	539	AMP-binding enzyme	29	439	3.30E-82	IPR000873	AMP-dependent synthetase/ligase			6.2.1.-	dmdB	Ruegeria pomeroyi DSS-3	sil-SPO2045	K00666	17	0	18
Q5LRT0	PF13193	Q5LRT0PF13193	963a9f742c6b445f8bd5c0be572d2193	539	AMP-binding enzyme C-terminal domain	448	523	9.60E-16	IPR025110	AMP-binding enzyme C-terminal domain			6.2.1.-	dmdB	Ruegeria pomeroyi DSS-3	sil-SPO2045	K00666	17	0	18
Q5LLW7	PF00441	Q5LLW7PF00441	6381cfbe05104d88500a35da5f90e286	588	Acyl-CoA dehydrogenase, C-terminal domain	280	445	1.90E-26	IPR009075	Acyl-CoA dehydrogenase/oxidase C-terminal			3.1.8.-	dmdC	Ruegeria pomeroyi DSS-4	sil-SPO3804		17	0	18
Q5LLW7	PF02770	Q5LLW7PF02770	6381cfbe05104d88500a35da5f90e286	588	Acyl-CoA dehydrogenase, middle domain	161	270	1.00E-15	IPR006091	Acyl-CoA oxidase/dehydrogenase, central domain			3.1.8.-	dmdC	Ruegeria pomeroyi DSS-4	sil-SPO3804		17	0	18
Q5LLW7	PF02771	Q5LLW7PF02771	6381cfbe05104d88500a35da5f90e286	588	Acyl-CoA dehydrogenase, N-terminal domain	36	155	2.70E-10	IPR013786	Acyl-CoA dehydrogenase/oxidase, N-terminal			3.1.8.-	dmdC	Ruegeria pomeroyi DSS-4	sil-SPO3804		17	0	18
Q5LLW7	PF12806	Q5LLW7PF12806	6381cfbe05104d88500a35da5f90e286	588	Acetyl-CoA dehydrogenase C-terminal like	463	585	4.80E-24	IPR025878	Acetyl-CoA dehydrogenase-like C-terminal domain			3.1.8.-	dmdC	Ruegeria pomeroyi DSS-4	sil-SPO3804		17	0	18
Q5LLW6	PF00378	Q5LLW6PF00378	209a4db18554c96eb9b6cd459bc90bab	267	Enoyl-CoA hydratase/isomerase	18	258	9.90E-40	IPR001753	Crotonase superfamily	Reactome: R-HSA-611105		3.1.2.-	dmdD	SPO3805  Ruegeria pomeroyi	sil-SPO3805	K00666	17	0	18
E9JFX9	PF00296	E9JFX9PF00296	ab78024690e8858072260548991acb33	480	Luciferase-like monooxygenase	28	391	5.30E-57	IPR011251	Luciferase-like domain			1.14.13.131	dmoA	Hyphomicrobium sulfonivorans	 	K16967	13	16	0
E0XCR3	PF01613	E0XCR3PF01613	3d6a867985e6c7b70fd7714675d13f61	176	Flavin reductase like domain	30	170	4.40E-35	IPR002563	Flavin reductase like domain			1.14.13.131	dmoB	Hyphomicrobium sulfonivorans	 	K16967	13	16	0
P97224	PF07680	P97224PF07680	619269c7b0e38173aea225e9fe04e903	168	TQO small subunit DoxA	26	156	2.90E-33	IPR011636	Thiosulphate:quinone oxidoreductase small subunit DoxA			1.8.5.2	doxA	Acidianus ambivalens	0	K16936	2	0	0
P97207	PF04173	P97207PF04173	cab73ce01f84ec35ce062d28e1cc84c4	184	TQO small subunit DoxD	20	184	5.50E-70	IPR007301	TQO small subunit DoxD			1.8.5.2	doxD	Acidianus ambivalens	0	K16937	2	0	0
O32428	PF06099	O32428PF06099	ce0887171788d34948aae5b5afe6ba4c	96	Phenol hydroxylase subunit	11	59	9.00E-22	IPR010353	Phenol hydroxylase subunit			1.14.13.-	dsoA	Acinetobacter sp. strain 20B	 		16	0	0
O32429	PF02332	O32429PF02332	a6ede164ea90782c60e6822ad14f7e64	333	Methane/Phenol/Toluene Hydroxylase	51	274	1.50E-59	IPR003430	Methane/phenol/toluene hydroxylase			1.14.13.-	dsoB	Acinetobacter sp. strain 20B	 		16	0	0
O32430	PF02406	O32430PF02406	18d620824c8196ea5069cdaf43f2935a	89	MmoB/DmpM family	4	86	1.20E-30	IPR003454	Monooxygenase component MmoB/DmpM			1.14.13.-	dsoC	Acinetobacter sp. strain 20B	 		16	0	0
O32431	PF02332	O32431PF02332	d0f03d257672fa2d623191cc29f35aca	511	Methane/Phenol/Toluene Hydroxylase	30	257	1.90E-68	IPR003430	Methane/phenol/toluene hydroxylase			1.14.13.-	dsoD	Acinetobacter sp. strain 20B	 		16	0	0
O32431	PF04945	O32431PF04945	d0f03d257672fa2d623191cc29f35aca	511	YHS domain	427	459	1.50E-08	IPR007029	YHS domain	KEGG: 00920+1.8.5.2|MetaCyc: PWY-5303		1.14.13.-	dsoD	Acinetobacter sp. strain 20B	 		16	0	0
O32432	PF04663	O32432PF04663	7e5305a3db39f0c0f0e05cfeee347d54	120	Phenol hydroxylase conserved region	16	78	9.50E-20	IPR006756	Phenol hydroxylase	Reactome: R-HSA-611105|Reactome: R-HSA-6799198		1.14.13.-	dsoE	Acinetobacter sp. strain 20B	 		16	0	0
O32433	PF00111	O32433PF00111	a4dd39ece6bc9fb534a9bf9d9629de3d	353	2Fe-2S iron-sulfur cluster binding domain	6	82	9.50E-17	IPR001041	2Fe-2S ferredoxin-type iron-sulfur binding domain			1.14.13.-	dsoF	Acinetobacter sp. strain 20B	 		16	0	0
O32433	PF00175	O32433PF00175	a4dd39ece6bc9fb534a9bf9d9629de3d	353	Oxidoreductase NAD-binding domain	210	315	9.50E-18	IPR001433	Oxidoreductase FAD/NAD(P)-binding			1.14.13.-	dsoF	Acinetobacter sp. strain 20B	 		16	0	0
O32433	PF00970	O32433PF00970	a4dd39ece6bc9fb534a9bf9d9629de3d	353	Oxidoreductase FAD-binding domain	107	198	1.50E-17	IPR008333	Oxidoreductase, FAD-binding domain			1.14.13.-	dsoF	Acinetobacter sp. strain 20B	 		16	0	0
Q59109	PF01077	Q59109PF01077	58b7541d89e4faeb6ea3618fbc45e259	418	Nitrite and sulphite reductase 4Fe-4S domain	166	381	3.00E-45	IPR006067	Nitrite/sulphite reductase 4Fe-4S domain			1.8.99.5	dsrA	Archaeoglobus fulgidus	afu:AF_0423	K11180	5		
Q59109	PF03460	Q59109PF03460	58b7541d89e4faeb6ea3618fbc45e259	418	Nitrite/Sulfite reductase ferredoxin-like half domain	91	155	1.40E-07	IPR005117	Nitrite/Sulfite reductase ferredoxin-like domain			1.8.99.5	dsrA	Archaeoglobus fulgidus	afu:AF_0423	K11180	5		
O33998	PF01077	O33998PF01077	7a278904dee914c2c88b3a2631ef8642	417	Nitrite and sulphite reductase 4Fe-4S domain	161	379	2.60E-36	IPR006067	Nitrite/sulphite reductase 4Fe-4S domain			1.8.99.1	dsrA	Allochromatium vinosum	afu-AF0423	K11180	5	11	0
O33998	PF03460	O33998PF03460	7a278904dee914c2c88b3a2631ef8642	417	Nitrite/Sulfite reductase ferredoxin-like half domain	89	152	7.90E-10	IPR005117	Nitrite/Sulfite reductase ferredoxin-like domain			1.8.99.1	dsrA	Allochromatium vinosum	afu-AF0423	K11180	5	11	20
Q59110	PF00037	Q59110PF00037	cb9e0e2c38857cc42d31283eed7a4430	366	4Fe-4S binding domain	234	252	4.10E-05	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain			1.8.99.5	dsrB	Archaeoglobus fulgidus	afu:AF_0424	K11181	5		
Q59110	PF01077	Q59110PF01077	cb9e0e2c38857cc42d31283eed7a4430	366	Nitrite and sulphite reductase 4Fe-4S domain	128	343	1.50E-39	IPR006067	Nitrite/sulphite reductase 4Fe-4S domain	KEGG: 00920+3.6.3.25		1.8.99.5	dsrB	Archaeoglobus fulgidus	afu:AF_0424	K11181	5		
Q59110	PF03460	Q59110PF03460	cb9e0e2c38857cc42d31283eed7a4430	366	Nitrite/Sulfite reductase ferredoxin-like half domain	46	109	1.80E-11	IPR005117	Nitrite/Sulfite reductase ferredoxin-like domain			1.8.99.5	dsrB	Archaeoglobus fulgidus	afu:AF_0424	K11181	5		
O33999	PF01077	O33999PF01077	fffd5a00a358c6d6516b1349ccbf430c	356	Nitrite and sulphite reductase 4Fe-4S domain	120	335	3.70E-23	IPR006067	Nitrite/sulphite reductase 4Fe-4S domain			1.8.99.1	dsrB	Allochromatium vinosum	afu-AF0424	K11181	5	11	20
O33999	PF03460	O33999PF03460	fffd5a00a358c6d6516b1349ccbf430c	356	Nitrite/Sulfite reductase ferredoxin-like half domain	48	108	7.00E-07	IPR005117	Nitrite/Sulfite reductase ferredoxin-like domain			1.8.99.1	dsrB	Allochromatium vinosum	afu-AF0424	K11181	5	11	20
O87899	PF04358	O87899PF04358	0807027ac908b9af820ea0f8408db857	112	DsrC like protein	6	112	8.60E-47	IPR007453	Sulphur transfer protein DsrC/TusE			NO EC	dsrC	Allochromatium vinosum	alv-Alvin_1256	0	5	0	0
O87896	PF02635	O87896PF02635	d93c1aa79410550e56d7a51c23c49d1d	130	DsrE/DsrF-like family	1	128	2.60E-29	IPR003787	Sulphur relay, DsrE/F-like protein			NO EC	dsrE	Allochromatium vinosum	alv-Alvin_1253	K07235 	11	20	0
O87897	PF02635	O87897PF02635	f75ecbc1d5925b966b1329580965f5f9	136	DsrE/DsrF-like family	6	136	9.80E-27	IPR003787	Sulphur relay, DsrE/F-like protein			NO EC	dsrF	Allochromatium vinosum	alv-Alvin_1254	K07236	11	20	0
O87898	PF04077	O87898PF04077	614b389c216396ecf4052b87a7eb5ce9	102	DsrH like protein	9	97	3.10E-29	IPR007215	Sulphur relay, TusB/DsrH			NO EC	dsrH	Allochromatium vinosum	alv-Alvin_1255		11	20	0
O87901	PF13183	O87901PF13183	a91354bf4d7c025a1d7791183bf9c256	524	4Fe-4S dicluster domain	73	159	3.10E-10	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain			NO EC	dsrK	Allochromatium vinosum	Alvin_1258 	0	5	11	20
O87900	PF02665	O87900PF02665	a5343e7b47c22b5b2d26713a3cb1ec1a	243	Nitrate reductase gamma subunit	77	212	1.20E-12	IPR023234	NarG-like domain	KEGG: 00920+1.8.1.2|MetaCyc: PWY-6683		NO EC	dsrM	Allochromatium vinosum	alv-Alvin_1257	0	5	0	0
Q9F2A2	PF13247	Q9F2A2PF13247	f7bbed04cf0d186afc6d4e30a542709a	268	4Fe-4S dicluster domain	125	223	4.60E-13	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	Reactome: R-HSA-196843		NO EC	dsrO	Allochromatium vinosum	alv-Alvin_1261	K00184 	5	11	0
Q9F2A1	PF03916	Q9F2A1PF03916	cdad5ded97853935b881ed5e862347d1	416	Polysulphide reductase, NrfD	43	334	8.40E-72	IPR005614	NrfD family	MetaCyc: PWY-101		NO EC	dsrP	Allochromatium vinosum	alv-Alvin_1262	K00185	5	11	0
P45574	PF01077	P45574PF01077	b9e2884f8ffbf487c16aa01b9addb862	437	Nitrite and sulphite reductase 4Fe-4S domain	167	396	1.90E-41	IPR006067	Nitrite/sulphite reductase 4Fe-4S domain			1.8.99.1	dsvA	Desulfovibrio vulgaris	dvu-DVU0402	K11180 	5	11	0
P45574	PF03460	P45574PF03460	b9e2884f8ffbf487c16aa01b9addb862	437	Nitrite/Sulfite reductase ferredoxin-like half domain	95	156	6.00E-06	IPR005117	Nitrite/Sulfite reductase ferredoxin-like domain			1.8.99.1	dsvA	Desulfovibrio vulgaris	dvu-DVU0402	K11180 	5	11	0
P45575	PF01077	P45575PF01077	4d049c4c9023fd797c3104e93a4a05f1	381	Nitrite and sulphite reductase 4Fe-4S domain	136	360	2.60E-40	IPR006067	Nitrite/sulphite reductase 4Fe-4S domain			1.8.99.1	dsvB	Desulfovibrio vulgaris	0	K11181	5	0	0
P45575	PF03460	P45575PF03460	4d049c4c9023fd797c3104e93a4a05f1	381	Nitrite/Sulfite reductase ferredoxin-like half domain	57	119	1.10E-11	IPR005117	Nitrite/Sulfite reductase ferredoxin-like domain			1.8.99.1	dsvB	Desulfovibrio vulgaris	0	K11181	5	0	0
Q06530	PF10518	Q06530PF10518	c56a5968e0017d546e26a55f1fd98890	431	TAT (twin-arginine translocation) pathway signal sequence	3	20	4.60E-05	IPR019546	Twin-arginine translocation pathway, signal sequence, bacterial/archaeal			1.8.2.3	fccB	Allochromatium vinosum	alv:Alvin_1092	K17229	11		
Q06530	PF07992	Q06530PF07992	c56a5968e0017d546e26a55f1fd98890	431	Pyridine nucleotide-disulphide oxidoreductase	34	150	4.10E-12	IPR023753	FAD/NAD(P)-binding domain	KEGG: 00920+1.8.2.3|MetaCyc: PWY-5274		1.8.2.3	fccB	Allochromatium vinosum	alv-Alvin_1092	K17229	11	0	0
Q06530	PF09242	Q06530PF09242	c56a5968e0017d546e26a55f1fd98890	431	Flavocytochrome c sulphide dehydrogenase, flavin-binding	360	430	8.20E-25	IPR015323	Flavocytochrome c sulphide dehydrogenase, flavin-binding			1.8.2.3	fccB	Allochromatium vinosum	alv-Alvin_1092	K17229	11	0	0
Q08742	PF00581	Q08742PF00581	2b1905ffd44d82e865104a0626ba0098	149	Rhodanese-like domain	39	139	5.10E-10	IPR001763	Rhodanese-like domain			2.8.1.3	FMP31	Saccharomyces cerevisiae	sce-YOR286W		7	0	0
Q0K2K1	PF00171	Q0K2K1PF00171	c3037ef38de17edc6d9dc45e79fcaaa1	483	Aldehyde dehydrogenase family	19	477	1.60E-170	IPR015590	Aldehyde dehydrogenase domain			1.2.1.16	gabD1	Ralstonia eutropha H16	reh-H16_B0982	K00135	24	25	26
P0A6V5	PF00581	P0A6V5PF00581	63e1eaf319be5966e65f1807faa39795	108	Rhodanese-like domain	11	98	5.50E-13	IPR001763	Rhodanese-like domain			2.8.1.1	glpE	Escherichia coli K-12 substr. MG1655	eco-b3425	K02439	7	0	0
E7FI44	PF00374	E7FI44PF00374	978c3edfff348c052896a1ff6ab5ea0c	428	Nickel-dependent hydrogenase	252	424	5.00E-12	IPR001501	Nickel-dependent hydrogenase, large subunit	KEGG: 00920+1.8.1.2|MetaCyc: PWY-6683		1.12.98.4	hydA	Pyrococcus furiosus	pfu-PF0894	K17993	6	0	0
