	real	30	60	100	150	200	250	300
PF03460	0.145	0.094	0.139	0.136	0.148	0.146	0.146	0.145
PF03916	0.592	0.215	0.644	0.597	0.615	0.595	0.606	0.592
PF03967	0.139	0.145	0.145	0.145	0.142	0.145	0.145	0.145
PF04069	-0.175	-0.102	-0.200	-0.179	-0.172	-0.150	-0.166	-0.174
PF04077	0.073	0.022	0.073	0.073	0.073	0.073	0.073	0.073
PF04173	-0.108	0.053	-0.006	-0.076	-0.089	-0.103	-0.106	-0.106
PF04295	-0.039	-0.044	-0.039	-0.040	-0.039	-0.039	-0.039	-0.039
PF04358	0.514	0.526	0.514	0.514	0.514	0.514	0.514	0.514
PF04663	NA	NA	-0.011	NA	NA	NA	NA	NA
PF04879	0.467	0.308	0.379	0.421	0.434	0.314	0.403	0.359
PF04945	0.186	0.149	0.274	0.217	0.238	0.212	0.218	0.222
PF05239	-0.079	0.008	-0.071	-0.070	-0.073	-0.074	-0.070	-0.071
PF05398	0.063	0.073	0.073	0.063	0.055	0.058	0.063	0.063
PF06099	NA	NA	NA	NA	NA	NA	NA	NA
PF07680	0.073	0.054	0.062	0.053	0.064	0.061	0.070	0.067
PF07682	0.118	0.124	0.124	0.124	0.118	0.118	0.118	0.124
PF07883	0.130	0.147	0.146	0.162	0.132	0.137	0.134	0.131
PF07992	0.007	0.040	0.009	0.009	0.008	0.007	0.007	0.007
PF08669	0.122	0.039	0.140	0.088	0.095	0.103	0.122	0.123
PF08770	0.328	0.364	0.338	0.331	0.319	0.315	0.319	0.316
PF09084	0.007	0.000	-0.039	-0.010	0.026	0.008	0.008	0.006
PF09242	0.348	0.293	0.301	0.319	0.332	0.363	0.334	0.343
PF09459	0.312	0.119	0.264	0.298	0.298	0.312	0.312	0.312
PF10418	0.471	0.460	0.480	0.394	0.477	0.469	0.479	0.476
PF10518	0.223	0.025	0.054	0.137	0.076	0.136	0.130	0.103
PF11511	0.052	0.035	0.052	0.052	0.052	0.052	0.052	0.052
PF12139	0.901	0.914	0.908	0.908	0.908	0.901	0.908	0.901
PF12798	0.613	0.098	0.679	0.557	0.491	0.510	0.539	0.558
PF12806	-0.063	-0.072	-0.070	-0.068	-0.055	-0.044	-0.060	-0.056
PF12831	0.038	0.046	0.137	0.091	0.147	0.163	0.097	0.071
PF12838	0.133	0.377	0.172	0.131	0.129	0.134	0.132	0.133
PF12857	-0.119	-0.017	-0.086	-0.082	-0.095	-0.103	-0.112	-0.119
PF13183	0.134	0.118	0.262	0.147	0.139	0.134	0.129	0.128
PF13193	0.087	0.160	0.113	0.101	0.099	0.129	0.100	0.105
PF13237	0.126	0.268	0.160	0.130	0.129	0.122	0.125	0.125
PF13247	0.411	0.626	0.515	0.440	0.422	0.431	0.426	0.422
PF13360	-0.064	0.001	-0.130	-0.108	-0.078	-0.050	-0.052	-0.054
PF13442	-0.007	0.005	-0.062	0.005	-0.008	0.006	-0.010	0.011
PF13501	0.376	0.328	0.319	0.315	0.376	0.378	0.374	0.369
PF13570	-0.017	-0.042	-0.055	-0.057	-0.017	-0.009	-0.018	-0.033
PF13577	-0.157	-0.032	-0.117	-0.150	-0.163	-0.159	-0.157	-0.157
PF13579	0.134	-0.002	0.204	0.165	0.122	0.120	0.140	0.142
PF13746	0.154	0.397	0.372	0.163	0.146	0.134	0.141	0.146
PF14306	0.997	0.602	0.940	1.025	0.963	1.013	0.988	0.999
