	real	30	60	100	150	200	250	300
PF13087	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13166	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13173	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13175	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13191	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13207	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13238	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13245	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07724	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13304	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13401	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13476	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13479	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13481	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13500	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13514	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13521	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13555	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07726	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13604	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13614	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13654	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13671	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13872	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF14516	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07728	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12774	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12775	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12780	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12781	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF14363	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16193	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF09821	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF08298	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF04611	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03306	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF05282	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF08142	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03417	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07247	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13339	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00696	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00324	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13520	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13906	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF08403	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF06684	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01490	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07336	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12430	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02496	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF14156	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00950	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03109	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01061	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12679	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12698	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12730	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13346	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF06182	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF09818	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF09819	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16962	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00664	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF06472	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13748	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF04392	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00005	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF09822	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03886	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF06541	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF14510	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16949	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16326	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12848	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12407	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF05270	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03806	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00561	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02230	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07859	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF08386	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12695	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12697	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12715	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF06259	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10081	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF15420	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF04083	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02517	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF08843	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF09407	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF09952	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF11459	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF17194	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13338	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10899	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16873	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF14253	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07751	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF14355	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07815	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16182	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03992	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF09441	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF05145	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF14250	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF07280	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF05814	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF05820	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16177	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13000	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00887	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
NAME  ACCA	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03255	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
NAME  ACC_central	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF08326	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
NAME  ACC_epsilon	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13822	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16671	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF14733	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF06315	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00871	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF09290	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF08882	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02550	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13336	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00583	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13673	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13720	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13880	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03421	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF17013	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF05301	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00797	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13302	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13420	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13444	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13480	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13508	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13523	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13527	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF14542	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF08674	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF15270	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03767	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12689	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF05054	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00330	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF06434	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF11791	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00694	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01756	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF06857	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF05777	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF06313	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01648	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF04336	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF08545	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF08541	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10766	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00873	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01842	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF09192	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF05058	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16102	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00976	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00022	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF14408	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF17003	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF11657	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF11498	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01064	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16840	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10000	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13291	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13710	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13740	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13840	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01643	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00441	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF08028	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12806	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02770	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02771	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF14749	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12590	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12186	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF12418	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00708	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01553	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16076	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02551	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00698	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02273	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01757	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16214	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF09793	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10198	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF16698	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF08516	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF05986	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF10199	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01602	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF00928	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02805	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF06314	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF13382	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03352	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF04008	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02438	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03052	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02703	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01691	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF01696	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF04623	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF06040	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF05248	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03376	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF04834	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF03307	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02440	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02439	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF05385	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
